SNO,Class,TestcaseName,TestStepsExecuted,TestStepsPassed,TestStepsFailed,classpassSteps,classfailSteps,modelpassSteps,modelfailSteps,exteriorpassSteps,exteriorfailSteps,interiorpassSteps,interiorfailSteps,ecpassSteps,ecfailSteps,pspassSteps,psfailSteps,TestOutputFile,ExecStartTime,ExecEndTime,Executedby,ResultCode,ModelYearCode,TypeCode,RegionCode,LanguageCode,EnvironmentCode,TestCaseTypeCode,Status
2001,SUV,"GLE 350 4Matic SUV",166,163,3,163,3,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_4M_SUV.html,"2020-09-29 17:09:00","2020-09-29 17:11:00",shanta.shetty,2,2020,1,2,2,3,1,A
2002,SUV,"GLE 350 4Matic SUV",521,519,2,0,0,519,2,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_4M_SUV.html,"2020-09-29 17:09:00","2020-09-29 17:11:00",shanta.shetty,2,2020,1,2,2,3,2,A
2003,SUV,"GLE 350 4Matic SUV",455,437,18,0,0,0,0,109,0,109,4,110,0,109,14,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_4M_SUV.html,"2020-09-29 17:09:00","2020-09-29 17:11:00",shanta.shetty,2,2020,1,2,2,3,3,A
2004,SUV,"GLE 450 4Matic SUV",177,175,2,175,2,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_450_4M_SUV.html,"2020-09-29 17:11:00","2020-09-29 17:13:00",shanta.shetty,2,2020,1,2,2,3,1,A
2005,SUV,"GLE 450 4Matic SUV",536,528,8,0,0,528,8,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_450_4M_SUV.html,"2020-09-29 17:11:00","2020-09-29 17:13:00",shanta.shetty,2,2020,1,2,1,3,2,A
2006,SUV,"GLE 450 4Matic SUV",480,464,16,0,0,0,0,120,0,124,0,114,0,106,16,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_450_4M_SUV.html,"2020-09-29 17:11:00","2020-09-29 17:13:00",shanta.shetty,2,2020,1,2,1,3,3,A
2007,SUV,"GLE 580 4Matic SUV",182,177,5,177,5,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_580_4M_SUV.html,"2020-09-29 17:13:00","2020-09-29 17:15:00",shanta.shetty,2,2021,1,2,1,3,1,A
2008,SUV,"GLE 580 4Matic SUV",477,472,5,0,0,472,5,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_580_4M_SUV.html,"2020-09-29 17:13:00","2020-09-29 17:15:00",shanta.shetty,2,2021,1,2,1,3,2,A
2009,SUV,"GLE 580 4Matic SUV",456,426,30,0,0,0,0,109,0,107,8,111,3,99,19,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_580_4M_SUV.html,"2020-09-29 17:13:00","2020-09-29 17:15:00",shanta.shetty,2,2021,1,2,2,3,3,A
2010,SUV,"AMG GLE 63 S 4Matic SUV",210,200,10,200,10,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_63S_4M_SUV.html,"2020-09-29 17:16:00","2020-09-29 17:18:00",shanta.shetty,2,2020,1,2,2,3,1,A
