"SNO";"Class";"TestcaseName";"TestStepsExecuted";"TestStepsPassed";"TestStepsFailed";"classpassSteps";"classfailSteps";"modelpassSteps";"modelfailSteps";"exteriorpassSteps";"exteriorfailSteps";"interiorpassSteps";"interiorfailSteps";"ecpassSteps";"ecfailSteps";"pspassSteps";"psfailSteps";"TestOutputFile";"ExecStartTime";"ExecEndTime";"Executedby";"ResultCode";"ModelYearCode";"TypeCode";"RegionCode";"LanguageCode";"EnvironmentCode";"TestCaseTypeCode";"Status"
1;"SUV";"GLE 350 SUV";75.0;60.0;15.0;60.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_SUV.html";"2020-09-01 17:06:00";"2020-09-01 17:09:00";"shanta.shetty";2;2020;1;1;1;1;1;"A"
2;"SUV";"GLE 350 SUV";387.0;347.0;40.0;0.0;0.0;347.0;40.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_SUV.html";"2020-09-01 17:06:00";"2020-09-01 17:09:00";"shanta.shetty";2;2020;1;1;1;1;2;"A"
3;"SUV";"GLE 350 SUV";311.0;247.0;64.0;0.0;0.0;0.0;0.0;36.0;12.0;33.0;8.0;102.0;32.0;76.0;12.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_SUV.html";"2020-09-01 17:06:00";"2020-09-01 17:09:00";"shanta.shetty";2;2020;1;1;1;1;3;"A"
4;"SUV";"GLE 350 4Matic SUV";78.0;65.0;13.0;65.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_4M_SUV.html";"2020-09-01 17:09:00";"2020-09-01 17:11:00";"shanta.shetty";2;2020;1;1;1;1;1;"A"
5;"SUV";"GLE 350 4Matic SUV";402.0;348.0;54.0;0.0;0.0;348.0;54.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_4M_SUV.html";"2020-09-01 17:09:00";"2020-09-01 17:11:00";"shanta.shetty";2;2020;1;1;1;1;2;"A"
6;"SUV";"GLE 350 4Matic SUV";357.0;294.0;63.0;0.0;0.0;0.0;0.0;36.0;12.0;40.0;10.0;120.0;23.0;98.0;18.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_4M_SUV.html";"2020-09-01 17:09:00";"2020-09-01 17:11:00";"shanta.shetty";2;2020;1;1;1;1;3;"A"
7;"SUV";"GLE 450 4Matic SUV";134.0;102.0;32.0;102.0;32.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_450_4M_SUV.html";"2020-09-01 17:11:00";"2020-09-01 17:13:00";"shanta.shetty";2;2020;1;1;1;1;1;"A"
8;"SUV";"GLE 450 4Matic SUV";484.0;420.0;64.0;0.0;0.0;420.0;64.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_450_4M_SUV.html";"2020-09-01 17:11:00";"2020-09-01 17:13:00";"shanta.shetty";2;2020;1;1;1;1;2;"A"
9;"SUV";"GLE 450 4Matic SUV";464.0;364.0;100.0;0.0;0.0;0.0;0.0;45.0;12.0;56.0;19.0;129.0;13.0;134.0;56.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_450_4M_SUV.html";"2020-09-01 17:11:00";"2020-09-01 17:13:00";"shanta.shetty";2;2020;1;1;1;1;3;"A"
10;"SUV";"GLE 580 4Matic SUV";139.0;107.0;32.0;107.0;32.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_580_4M_SUV.html";"2020-09-01 17:13:00";"2020-09-01 17:15:00";"shanta.shetty";2;2020;1;1;1;1;1;"A"
11;"SUV";"GLE 580 4Matic SUV";531.0;453.0;78.0;0.0;0.0;453.0;78.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_580_4M_SUV.html";"2020-09-01 17:13:00";"2020-09-01 17:15:00";"shanta.shetty";2;2020;1;1;1;1;2;"A"
12;"SUV";"GLE 580 4Matic SUV";545.0;424.0;121.0;0.0;0.0;0.0;0.0;56.0;23.0;78.0;34.0;167.0;19.0;123.0;45.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_580_4M_SUV.html";"2020-09-01 17:13:00";"2020-09-01 17:15:00";"shanta.shetty";2;2020;1;1;1;1;3;"A"
13;"SUV";"AMG GLE 63 S 4Matic SUV";169.0;124.0;45.0;124.0;45.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_63S_4M_SUV.html";"2020-09-01 17:16:00";"2020-09-01 17:18:00";"shanta.shetty";2;2020;1;1;1;1;1;"A"
14;"SUV";"AMG GLE 63 S 4Matic SUV";565.0;467.0;98.0;0.0;0.0;467.0;98.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_63S_4M_SUV.html";"2020-09-01 17:16:00";"2020-09-01 17:18:00";"shanta.shetty";2;2020;1;1;1;1;2;"A"
