sno,Class,TestcaseName,TestStepsExecuted,TestStepsPassed,TestStepsFailed,classpassSteps,classfailSteps,modelpassSteps,modelfailSteps,extpassSteps,extfailSteps,intepassSteps,intefailSteps,entertinpassSteps,entertinfailSteps,perforpassSteps,perforfailSteps,TestOutputFile,ExecStartTime,ExecEndTime,Executedby,ResultCode,ModelYearCode,TypeCode,RegionCode,LanguageCode,EnvironmentCode,status
34,SUV,"GLE 350 SUV",661,654,7,66,1,366,1,36,0,30,5,98,0,58,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_SUV.html,"2020-11-04 17:06:29","2020-11-04 17:09:00",shanta.shetty,2,2021,1,1,1,3,A
35,SUV,"GLE 350 4Matic SUV",670,663,7,66,1,373,0,36,0,29,6,98,0,61,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_4M_SUV.html,"2020-11-04 17:09:20","2020-11-04 17:11:21",shanta.shetty,2,2021,1,1,1,3,A
36,SUV,"GLE 450 4Matic SUV",689,669,20,52,15,383,0,38,0,32,5,100,0,64,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_450_4M_SUV.html,"2020-11-04 17:11:32","2020-11-04 17:13:49",shanta.shetty,2,2021,1,1,1,3,A
37,SUV,"GLE 580 4Matic SUV",675,648,27,48,19,372,0,33,0,29,5,101,1,65,2,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_580_4M_SUV.html,"2020-11-04 17:13:59","2020-11-04 17:15:49",shanta.shetty,2,2021,1,1,1,3,A
38,SUV,"AMG GLE 63 S 4Matic SUV",712,674,38,37,31,381,1,27,0,38,3,104,1,87,2,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_63S_4M_SUV.html,"2020-11-04 17:16:52","2020-11-04 17:18:21",shanta.shetty,2,2021,1,1,1,3,A
39,SUV,"GLA 250 SUV",618,607,11,62,2,324,3,34,2,27,3,81,0,79,1,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLA_Class_GLA_250_SUV.html,"2020-11-04 17:18:31","2020-11-04 17:20:07",shanta.shetty,2,2021,1,1,1,3,A
40,SUV,"AMG GLA 35 SUV",654,650,4,67,1,344,0,35,0,32,3,84,0,88,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLA_Class_GLA_35_SUV.html,"2020-11-04 17:21:05","2020-11-04 17:22:53",shanta.shetty,2,2021,1,1,1,3,A
41,SUV,GLC300W,589,589,0,31,0,349,0,47,0,28,0,66,0,68,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLC_Class_GLC_300_SUV.html,"2020-11-04 17:22:58","2020-11-04 17:25:12",shanta.shetty,1,2021,1,1,1,3,A
42,SUV,GLC300W4,600,595,5,31,0,355,0,47,0,25,5,66,0,71,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLC_Class_GLC_300_4M_SUV.html,"2020-11-04 17:25:19","2020-11-04 17:26:46",shanta.shetty,2,2021,1,1,1,3,A
43,Coupe,GLC300C4,584,577,7,31,0,340,4,41,0,30,1,72,2,63,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLC_Class_GLC_300_4M_Coupe.html,"2020-11-04 17:26:52","2020-11-04 17:28:22",shanta.shetty,2,2021,1,1,1,3,A
