sno,Class,TestcaseName,TestStepsExecuted,TestStepsPassed,TestStepsFailed,classpassSteps,classfailSteps,modelpassSteps,modelfailSteps,extpassSteps,extfailSteps,intepassSteps,intefailSteps,entertinpassSteps,entertinfailSteps,perforpassSteps,perforfailSteps,TestOutputFile,ExecStartTime,ExecEndTime,Executedby,ResultCode,ModelYearCode,TypeCode,RegionCode,LanguageCode,EnvironmentCode,status
129,null,"First Class Windshield Protection",11,8,3,0,0,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALMFusion_ALM/test-output/RunResults/US_NONMYCO_First_Class_Windshield_Protection.html,"2020-11-06 17:32:38","2020-11-06 17:33:11",shanta.shetty,2,2021,1,1,1,3,A
130,null,"First Class Wheel and Tire Protection",8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALMFusion_ALM/test-output/RunResults/US_NONMYCO_First_Class_Wheel_and_Tire_Protection.html,"2020-11-06 17:33:44","2020-11-06 17:34:13",shanta.shetty,2,2021,1,1,1,3,A
131,null,"First Class Paintless Dent Repair",7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALMFusion_ALM/test-output/RunResults/US_NONMYCO_First_Class_Paintless_Dent_Repair.html,"2020-11-06 17:34:17","2020-11-06 17:34:40",shanta.shetty,2,2021,1,1,1,3,A
132,null,"First Class Lease Protection",8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALMFusion_ALM/test-output/RunResults/US_NONMYCO_First_Class_Lease_Protection.html,"2020-11-06 17:34:44","2020-11-06 17:35:28",shanta.shetty,2,2021,1,1,1,3,A
133,null,"First Class Key Protection",8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALMFusion_ALM/test-output/RunResults/US_NONMYCO_First_Class_Key_Protection.html,"2020-11-06 17:35:34","2020-11-06 17:35:59",shanta.shetty,2,2021,1,1,1,3,A
134,SUV,GLB35W4,646,646,0,73,0,344,0,34,0,27,0,87,0,81,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLB_Class_GLB_35_4M_SUV.html,"2020-11-06 18:03:41","2020-11-06 18:06:25",shanta.shetty,1,2021,1,1,1,1,A
135,Maybach,GLS600Z4,612,601,11,31,0,323,5,13,0,11,6,118,0,105,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLS_Class_GLS_600_Maybach.html,"2020-11-06 18:06:37","2020-11-06 18:09:04",shanta.shetty,2,2021,1,1,1,1,A
136,SUV,GLB250W,605,574,31,36,30,325,1,38,0,24,0,79,0,72,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLB_Class_GLB_250_SUV.html,"2020-11-06 18:20:34","2020-11-06 18:23:19",shanta.shetty,2,2021,1,1,1,1,A
137,SUV,GLB250W4,603,571,32,35,31,331,1,38,0,12,0,79,0,76,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLB_Class_GLB_250_4M_SUV.html,"2020-11-06 18:23:28","2020-11-06 18:26:35",shanta.shetty,2,2021,1,1,1,1,A
138,SUV,GLB250W,606,601,5,63,4,325,1,38,0,24,0,79,0,72,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLB_Class_GLB_250_SUV.html,"2020-11-06 18:31:27","2020-11-06 18:34:42",shanta.shetty,2,2021,1,1,1,1,A
139,SUV,GLB250W4,604,598,6,62,5,331,1,38,0,12,0,79,0,76,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLB_Class_GLB_250_4M_SUV.html,"2020-11-06 18:34:50","2020-11-06 18:37:52",shanta.shetty,2,2021,1,1,1,1,A
140,null,AMG,15,7,8,0,0,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALMFusion_ALM/test-output/RunResults/US_AMG.html,"2020-11-06 19:45:20","2020-11-06 19:46:15",shanta.shetty,2,2021,1,1,1,3,A
141,null,AMG-Introduction,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALMFusion_ALM/test-output/RunResults/US_AMG_Introduction.html,"2020-11-06 19:46:25","2020-11-06 19:46:52",shanta.shetty,2,2021,1,1,1,3,A
142,null,AMG-who_we_are,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALMFusion_ALM/test-output/RunResults/US_AMG_WhoWeAre.html,"2020-11-06 19:46:56","2020-11-06 19:47:28",shanta.shetty,1,2021,1,1,1,3,A
143,null,AMG-Performance,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALMFusion_ALM/test-output/RunResults/US_AMG_Performance.html,"2020-11-06 19:47:34","2020-11-06 19:48:06",shanta.shetty,1,2021,1,1,1,3,A
144,null,AMG-History,19,18,1,0,0,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALMFusion_ALM/test-output/RunResults/US_AMG_History.html,"2020-11-06 19:48:10","2020-11-06 19:49:23",shanta.shetty,2,2021,1,1,1,3,A
145,null,"Specialty Chapter Page- Engines",23,19,4,0,0,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALMFusion_ALM/test-output/RunResults/US_NONMYCO_SpecialtyChapterPage_Engines.html,"2020-11-06 19:49:52","2020-11-06 19:52:21",shanta.shetty,2,2021,1,1,1,3,A
146,null,"Car Payment Estimator",5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALMFusion_ALM/test-output/RunResults/US_Car_Payment_Estimator.html,"2020-11-06 19:53:01","2020-11-06 19:53:33",shanta.shetty,1,2021,1,1,1,3,A
147,null,"Legal Notices",33,27,6,0,0,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALMFusion_ALM/test-output/RunResults/US_NONMYCO_Legal_Notices.html,"2020-11-06 19:53:37","2020-11-06 19:54:07",shanta.shetty,2,2021,1,1,1,3,A
148,null,"What is Case",31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALMFusion_ALM/test-output/RunResults/US_NONMYCO_What_is_Case.html,"2020-11-06 19:54:12","2020-11-06 19:54:39",shanta.shetty,1,2021,1,1,1,3,A
149,null,"Terms of Use",37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALMFusion_ALM/test-output/RunResults/US_NONMYCO_Terms_of_Use.html,"2020-11-06 19:55:21","2020-11-06 19:55:52",shanta.shetty,1,2021,1,1,1,3,A
150,null,"Smart cross connect terms of use",9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALMFusion_ALM/test-output/RunResults/US_NONMYCO_Smart_cross_connect_terms_of_use.html,"2020-11-06 19:56:30","2020-11-06 19:56:54",shanta.shetty,1,2021,1,1,1,3,A
151,null,Reservations,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALMFusion_ALM/test-output/RunResults/US_NONMYCO_Reservations.html,"2020-11-06 19:56:59","2020-11-06 19:57:31",shanta.shetty,1,2021,1,1,1,3,A
152,null,"Privacy Statement",35,30,5,0,0,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALMFusion_ALM/test-output/RunResults/US_NONMYCO_Privacy_Statement.html,"2020-11-06 19:58:44","2020-11-06 19:59:11",shanta.shetty,2,2021,1,1,1,3,A
153,null,"Preference Center",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALMFusion_ALM/test-output/RunResults/US_NONMYCO_Preference_Center.html,"2020-11-06 19:59:17","2020-11-06 19:59:45",shanta.shetty,1,2021,1,1,1,3,A
154,null,"Owner Resources - Centralized Diagnostic Technicians",23,17,6,0,0,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALMFusion_ALM/test-output/RunResults/US_NONMYCO_OwnerResources_US_Centralized_Diagnostic_Technicians.html,"2020-11-06 20:00:23","2020-11-06 20:00:47",shanta.shetty,2,2021,1,1,1,3,A
155,null,"Owner Resources - Roadside Assistance",31,29,2,0,0,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALMFusion_ALM/test-output/RunResults/US_NONMYCO_OwnerResources_Roadside_Assistance.html,"2020-11-06 20:01:13","2020-11-06 20:01:41",shanta.shetty,2,2021,1,1,1,3,A
156,null,"Owner Resources - Owners manuals",81,4,77,0,0,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALMFusion_ALM/test-output/RunResults/US_NONMYCO_OwnerResources_Owners_manuals.html,"2020-11-06 20:01:45","2020-11-06 20:02:21",shanta.shetty,2,2021,1,1,1,3,A
157,null,"Owner Resources - Owners landing page",43,41,2,0,0,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALMFusion_ALM/test-output/RunResults/US_NONMYCO_OwnerResources_Owners_landing_page.html,"2020-11-06 20:02:26","2020-11-06 20:02:56",shanta.shetty,2,2021,1,1,1,3,A
158,null,"Owner Resources - Getting help page",15,11,4,0,0,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALMFusion_ALM/test-output/RunResults/US_NONMYCO_OwnerResources_Getting_help_page.html,"2020-11-06 20:03:37","2020-11-06 20:04:01",shanta.shetty,2,2021,1,1,1,3,A
159,null,"Owner Resources - Eligibility and Restrictions",14,11,3,0,0,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALMFusion_ALM/test-output/RunResults/US_NONMYCO_OwnerResources_Eligibility_and_Restrictions.html,"2020-11-06 20:04:35","2020-11-06 20:05:07",shanta.shetty,2,2021,1,1,1,3,A
160,null,"Mobile applications",19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALMFusion_ALM/test-output/RunResults/US_NONMYCO_Mobile_applications.html,"2020-11-06 20:05:12","2020-11-06 20:05:43",shanta.shetty,1,2021,1,1,1,3,A
161,null,mercedes-me-usa,21,19,2,0,0,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALMFusion_ALM/test-output/RunResults/US_NONMYCO_mercedes_me_usa.html,"2020-11-06 20:06:25","2020-11-06 20:07:12",shanta.shetty,2,2021,1,1,1,3,A
162,null,"Mercedes Me Connect",39,19,20,0,0,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALMFusion_ALM/test-output/RunResults/US_NONMYCO_Mercedes_Me_Connect.html,"2020-11-06 20:08:01","2020-11-06 20:08:37",shanta.shetty,2,2021,1,1,1,3,A
163,null,"Mercedes-Benz EQ - FAQ",57,57,0,0,0,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALMFusion_ALM/test-output/RunResults/US_NONMYCO_Mercedes_Benz_EQ_FAQ.html,"2020-11-06 20:08:41","2020-11-06 20:09:13",shanta.shetty,1,2021,1,1,1,3,A
164,null,"Mbrace Privacy Notice",6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALMFusion_ALM/test-output/RunResults/US_NONMYCO_Mbrace_Privacy_Notice.html,"2020-11-06 20:09:22","2020-11-06 20:09:55",shanta.shetty,1,2021,1,1,1,3,A
